Division,State,Party,Margin,Copy,Link
Adelaide,SA,Australian Labor Party,"8,894",This will be some copy text entered by a CMS user,https://google.com
Aston,VIC,Liberal,"14,698",This will be some copy text entered by a CMS user,https://google.com
Ballarat,VIC,Australian Labor Party,"14,297",This will be some copy text entered by a CMS user,https://google.com
Banks,NSW,Liberal,"2,588",This will be some copy text entered by a CMS user,https://google.com
Barker,SA,Liberal,"8,951",This will be some copy text entered by a CMS user,https://google.com
Barton,NSW,Australian Labor Party,"14,560",This will be some copy text entered by a CMS user,https://google.com
Bass,TAS,Australian Labor Party,"8,063",This will be some copy text entered by a CMS user,https://google.com
Batman,VIC,Australian Labor Party,"1,853",This will be some copy text entered by a CMS user,https://google.com
Bendigo,VIC,Australian Labor Party,"7,293",This will be some copy text entered by a CMS user,https://google.com
Bennelong,NSW,Liberal,"17,923",This will be some copy text entered by a CMS user,https://google.com
Berowra,NSW,Liberal,"30,923",This will be some copy text entered by a CMS user,https://google.com
Blair,QLD,Australian Labor Party,"15,129",This will be some copy text entered by a CMS user,https://google.com
Blaxland,NSW,Australian Labor Party,"31,129",This will be some copy text entered by a CMS user,https://google.com
Bonner,QLD,Liberal National Party,"6,095",This will be some copy text entered by a CMS user,https://google.com
Boothby,SA,Liberal,"6,672",This will be some copy text entered by a CMS user,https://google.com
Bowman,QLD,Liberal National Party,"13,055",This will be some copy text entered by a CMS user,https://google.com
Braddon,TAS,Australian Labor Party,"2,846",This will be some copy text entered by a CMS user,https://google.com
Bradfield,NSW,Liberal,"39,392",This will be some copy text entered by a CMS user,https://google.com
Brand,WA,Australian Labor Party,"18,686",This will be some copy text entered by a CMS user,https://google.com
Brisbane,QLD,Liberal National Party,"11,161",This will be some copy text entered by a CMS user,https://google.com
Bruce,VIC,Australian Labor Party,"6,776",This will be some copy text entered by a CMS user,https://google.com
Burt,WA,Australian Labor Party,"11,996",This will be some copy text entered by a CMS user,https://google.com
Calare,NSW,The Nationals,"23,678",This will be some copy text entered by a CMS user,https://google.com
Calwell,VIC,Australian Labor Party,"32,108",This will be some copy text entered by a CMS user,https://google.com
Canberra,ACT,Australian Labor Party,"21,774",This will be some copy text entered by a CMS user,https://google.com
Canning,WA,Liberal,"11,480",This will be some copy text entered by a CMS user,https://google.com
Capricornia,QLD,Liberal National Party,"1,111",This will be some copy text entered by a CMS user,https://google.com
Casey,VIC,Liberal,"11,175",This will be some copy text entered by a CMS user,https://google.com
Chifley,NSW,Australian Labor Party,"32,835",This will be some copy text entered by a CMS user,https://google.com
Chisholm,VIC,Liberal,"2,154",This will be some copy text entered by a CMS user,https://google.com
Cook,NSW,Liberal,"28,135",This will be some copy text entered by a CMS user,https://google.com
Corangamite,VIC,Liberal,"6,165",This will be some copy text entered by a CMS user,https://google.com
Corio,VIC,Australian Labor Party,"18,877",This will be some copy text entered by a CMS user,https://google.com
Cowan,WA,Australian Labor Party,"1,106",This will be some copy text entered by a CMS user,https://google.com
Cowper,NSW,The Nationals,"9,426",This will be some copy text entered by a CMS user,https://google.com
Cunningham,NSW,Australian Labor Party,"25,830",This will be some copy text entered by a CMS user,https://google.com
Curtin,WA,Liberal,"35,498",This will be some copy text entered by a CMS user,https://google.com
Dawson,QLD,Liberal National Party,"6,034",This will be some copy text entered by a CMS user,https://google.com
Deakin,VIC,Liberal,"10,260",This will be some copy text entered by a CMS user,https://google.com
Denison,TAS,Independent,"23,698",This will be some copy text entered by a CMS user,https://google.com
Dickson,QLD,Liberal National Party,"2,911",This will be some copy text entered by a CMS user,https://google.com
Dobell,NSW,Australian Labor Party,"9,308",This will be some copy text entered by a CMS user,https://google.com
Dunkley,VIC,Liberal,"2,557",This will be some copy text entered by a CMS user,https://google.com
Durack,WA,Liberal,"16,957",This will be some copy text entered by a CMS user,https://google.com
Eden-Monaro,NSW,Australian Labor Party,"5,537",This will be some copy text entered by a CMS user,https://google.com
Fadden,QLD,Liberal National Party,"19,752",This will be some copy text entered by a CMS user,https://google.com
Fairfax,QLD,Liberal National Party,"20,135",This will be some copy text entered by a CMS user,https://google.com
Farrer,NSW,Liberal,"39,649",This will be some copy text entered by a CMS user,https://google.com
Fenner,ACT,Australian Labor Party,"34,462",This will be some copy text entered by a CMS user,https://google.com
Fisher,QLD,Liberal National Party,"15,181",This will be some copy text entered by a CMS user,https://google.com
Flinders,VIC,Liberal,"15,792",This will be some copy text entered by a CMS user,https://google.com
Flynn,QLD,Liberal National Party,"1,814",This will be some copy text entered by a CMS user,https://google.com
Forde,QLD,Liberal National Party,"1,062",This will be some copy text entered by a CMS user,https://google.com
Forrest,WA,Liberal,"21,271",This will be some copy text entered by a CMS user,https://google.com
Fowler,NSW,Australian Labor Party,"29,648",This will be some copy text entered by a CMS user,https://google.com
Franklin,TAS,Australian Labor Party,"14,921",This will be some copy text entered by a CMS user,https://google.com
Fremantle,WA,Australian Labor Party,"12,766",This will be some copy text entered by a CMS user,https://google.com
Gellibrand,VIC,Australian Labor Party,"33,703",This will be some copy text entered by a CMS user,https://google.com
Gilmore,NSW,Liberal,"1,503",This will be some copy text entered by a CMS user,https://google.com
Gippsland,VIC,The Nationals,"32,920",This will be some copy text entered by a CMS user,https://google.com
Goldstein,VIC,Liberal,"23,716",This will be some copy text entered by a CMS user,https://google.com
Gorton,VIC,Australian Labor Party,"38,165",This will be some copy text entered by a CMS user,https://google.com
Grayndler,NSW,Australian Labor Party,"27,822",This will be some copy text entered by a CMS user,https://google.com
Greenway,NSW,Australian Labor Party,"11,243",This will be some copy text entered by a CMS user,https://google.com
Grey,SA,Liberal,"3,508",This will be some copy text entered by a CMS user,https://google.com
Griffith,QLD,Australian Labor Party,"2,945",This will be some copy text entered by a CMS user,https://google.com
Groom,QLD,Liberal National Party,"27,931",This will be some copy text entered by a CMS user,https://google.com
Hasluck,WA,Liberal,"3,337",This will be some copy text entered by a CMS user,https://google.com
